user_id,role,balance,active,password
admin1,admin,0,yes,admin1password
admin2,admin,0,yes,admin2password
scheduler1,scheduler,0,yes,scheduler1pw
scheduler2,scheduler,0,yes,scheduler2pw
scheduler3,scheduler,0,yes,scheduler3pw
mike,scheduler,0,yes,mikepassword
sarah,scheduler,0,yes,sarahpassword
cody,scheduler,0,yes,codypassword
jason,scheduler,0,yes,jasonpassword
sally,scheduler,0,yes,sallypassword
lisa,scheduler,0,yes,lisapassword
patrick,scheduler,0,yes,patrickpassword
client1,client,100,yes,client1pw
client2,client,200,yes,client2pw
kariyushi,remote,0,yes,kariyushipw
spencer,remote,0,yes,spencerpw
peter,remote,0,yes,peterpw
